"","salienceData.caseId","salience.est","salience.sd","early.salience.est","early.salience.sd","probit.salience.est","probit.salience.sd"
"1","1955-001",-0.482810008751849,0.818405652696593,-0.190840931256047,0.88594501604219,-0.50080751930645,0.799667390024588
"2","1955-002",-0.419444169920182,0.810165979088896,-0.232831921091239,0.904264607663034,-0.508251971901555,0.785025801451989
"3","1955-003",0.746972914148603,0.634776311574995,0.719217353633903,0.782012349984119,1.13416582940792,0.495006295750936
"4","1955-004",-0.45917755914647,0.822925400383346,-0.265415747667575,0.901516814430487,-0.498846317787094,0.784874563426062
"5","1955-005",0.947027507144468,0.585836956040837,-0.211184502999305,0.916795431873799,0.349765702239631,0.617029118287463
"6","1955-006",-0.425720194314678,0.846718215389459,-0.192778265009426,0.915924092198657,-0.489216929934504,0.781977064162129
"7","1955-007",-0.457871189513004,0.823806872514369,-0.226500454793941,0.884530628252866,-0.492624337431529,0.779847828627188
"8","1955-008",-0.453568442085501,0.860625621223625,-0.19805646746848,0.880436950999455,-0.485511113364373,0.801006731224134
"9","1955-009",-0.425345413953647,0.820923150429629,-0.199966464226798,0.90567867473758,-0.497891139660573,0.766247852419507
"10","1955-010",-0.439094727045293,0.836088889759418,-0.223624000807714,0.900479206746907,-0.492339860790512,0.779527372402246
"11","1955-011",1.20763650399681,0.549081954390408,-0.218910233122165,0.900909238340964,1.35847953081422,0.463130944562558
"12","1955-012",-0.438946391362521,0.81920763764631,-0.237201655605852,0.926804754887817,-0.516490943514966,0.796542403782616
"13","1955-013",2.10876427345314,0.381383222943307,2.47398182504199,0.436832142000321,1.78796396946307,0.450286056663325
"14","1955-014",0.130097272325501,0.725060675469588,-0.211730243957669,0.899358092494784,0.361711657728777,0.614731439637704
"15","1955-015",-0.441323314290828,0.830869335360117,-0.206234933365531,0.890041254380606,-0.480211464063806,0.790220374793429
"16","1955-016",-0.431025388069439,0.821493899975738,-0.203871982406119,0.882884359658223,-0.485281356092556,0.791735238985599
"17","1955-017",-0.451869485931863,0.844287597891221,-0.224450684894555,0.918771261463919,-0.467626893315535,0.804915932419966
"18","1955-018",-0.447398340259851,0.832573459156965,-0.201190242821895,0.894872466476137,-0.504439655921009,0.773829580039928
"19","1955-019",-0.447482682532336,0.837956256614424,-0.25251591972591,0.922968102628313,-0.531969365654634,0.790241961136303
"20","1955-020",-0.440545294989451,0.814686828378294,-0.233828037304478,0.889844041096459,-0.494050902603114,0.772914133288723
"21","1955-021",-0.441357938139197,0.811239863752786,-0.232119530798321,0.905995276430052,-0.477765930639779,0.79927553154097
"22","1955-022",-0.447236143300088,0.817507850169481,-0.194992136335171,0.904610565849146,-0.501508639193927,0.787514436309627
"23","1955-023",0.164709873523087,0.724919430576135,-0.242770633587247,0.87576027928787,0.356192634718918,0.614161761974276
"24","1955-024",0.817387301087254,0.610091315676657,0.793250953312123,0.804420483266004,1.10250476530396,0.482064936075407
